VIA,Tipo,Subtipo
2193,Hombre,
2196,Hombre,
2199,Hombre,
2200,Geográfico,
2201,Descriptivo,
2208,Hombre,
2209,Pais/Nación/Región,
2210,Hombre,
2211,Mujer,Falta información
2212,Hombre,
2213,Geográfico,
2214,Descriptivo,
2215,Hombre,
2216,Hombre,
2217,Descriptivo,
2218,Descriptivo,
2219,Descriptivo,
2220,Descriptivo,
2221,Descriptivo,
2222,Descriptivo,
2223,Histórico,
2224,Hombre,
2226,Geográfico,
2229,Hombre,
2232,Histórico,
2235,Hombre,
2238,Hombre,
2241,Hombre,
2244,Hombre,
2247,Pais/Nación/Región,
2250,Hombre,
2252,Hombre,
2253,Histórico,
2255,Hombre,
2256,Hombre,
2262,Artes/Cultura,
2263,Hombre,
2265,Geográfico,
2266,Descriptivo,
2268,Artes/Cultura,
2269,Descriptivo,
2270,Hombre,
2271,Geográfico,
2274,Pais/Nación/Región,
2277,Geográfico,
2280,Hombre,
2283,Geográfico,
2286,Hombre,
2288,Otro,
2289,Hombre,
2290,Hombre,
2291,Hombre,
2292,Artes/Cultura,
2293,Familia,
2295,Geográfico,
2298,Hombre,
2300,Histórico,
2301,Artes/Cultura,
2302,Artes/Cultura,
2303,Hombre,
2304,Histórico,
2305,Hombre,
2306,Flora,
2307,Lugar/Ciudad,
2308,Geográfico,
2309,Astronómico,
2310,Geográfico,
2311,Fauna,
2312,Hombre,
2313,Hombre,
2314,Hombre,
2315,Descriptivo,
2316,Geográfico,
2317,Hombre,
2318,Histórico,
2319,Hombre,
2320,Histórico,
2321,Artes/Cultura,
2322,Geográfico,
2323,Descriptivo,
2324,Hombre,
2325,Hombre,
2326,Hombre,
2327,Hombre,
2328,Lugar/Ciudad,
2329,Otro,
2330,Hombre,
2331,Hombre,
2332,Mujer,Cultura
2333,Hombre,
2334,Hombre,
2335,Descriptivo,
2336,Hombre,
2337,Histórico,
2338,Hombre,
2339,Descriptivo,
2340,Hombre,
2341,Hombre,
2342,Hombre,
2343,Otro,
2344,Otro,
2345,Hombre,
2346,Histórico,
2347,Hombre,
2348,Fauna,
2349,Artes/Cultura,
2350,Hombre,
2351,Otro,
2352,Hombre,
2353,Hombre,
2354,Artes/Cultura,
2355,Hombre,
2356,Hombre,
2357,Hombre,
2358,Hombre,
2359,Otro,
2360,Hombre,
2361,Hombre,
2362,Hombre,
2363,Hombre,
2364,Hombre,
2365,Hombre,
2366,Artes/Cultura,
2367,Hombre,
2368,Hombre,
2369,Hombre,
2370,Hombre,
2371,Descriptivo,
2372,Descriptivo,
2373,Hombre,
2374,Hombre,
2375,Descriptivo,
2376,Hombre,
2377,Otro,
2378,Artes/Cultura,
2379,Pais/Nación/Región,
2380,Hombre,
2381,Hombre,
2382,Hombre,
2383,Astronómico,
2384,Hombre,
2385,Pais/Nación/Región,
2386,Hombre,
2387,Hombre,
2388,Hombre,
2389,Artes/Cultura,
2390,Artes/Cultura,
2391,Histórico,
2392,Descriptivo,
2393,Artes/Cultura,
2394,Hombre,
2395,Histórico,
2396,Histórico,
2397,Artes/Cultura,
2398,Astronómico,
2399,Hombre,
2400,Hombre,
2401,Artes/Cultura,
2402,Descriptivo,
2403,Descriptivo,
2404,Artes/Cultura,
2405,Artes/Cultura,
2406,Histórico,
2407,Hombre,
2408,Hombre,
2409,Hombre,
2410,Hombre,
2411,Astronómico,
2412,Pais/Nación/Región,
2413,Astronómico,
2414,Hombre,
2415,Artes/Cultura,
2416,Hombre,
2417,Hombre,
2418,Hombre,
2419,Hombre,
2420,Hombre,
2421,Hombre,
2422,Hombre,
2423,Hombre,
2424,Hombre,
2425,Hombre,
2426,Descriptivo,
2427,Hombre,
2428,Hombre,
2429,Hombre,
2430,Hombre,
2431,Hombre,
2432,Hombre,
2433,Hombre,
2435,Flora,
2436,Pais/Nación/Región,
2437,Artes/Cultura,
2438,Hombre,
2439,Geográfico,
2441,Mujer,Cultura
2442,Hombre,
2443,Hombre,
2444,Mujer,Cultura
2445,Hombre,
2447,Hombre,
2448,Hombre,
2449,Descriptivo,
2450,Mujer,Educación
2451,Hombre,
2452,Flora,
2454,Hombre,
2455,Hombre,
2457,Hombre,
2460,Hombre,
2463,Hombre,
2466,Pais/Nación/Región,
2469,Lugar/Ciudad,
2471,Hombre,
2472,Hombre,
2473,Descriptivo,
2474,Descriptivo,
2475,Pais/Nación/Región,
2476,Descriptivo,
2478,Hombre,
2479,Hombre,
2480,Fauna,
2481,Histórico,
2482,Otro,
2483,Fauna,
2484,Artes/Cultura,
2485,Artes/Cultura,
2486,Fauna,
2487,Artes/Cultura,
2488,Flora,
2489,Fauna,
2490,Hombre,
2491,Fauna,
2492,Fauna,
2493,Lugar/Ciudad,
2494,Artes/Cultura,
2496,Hombre,
2497,Geográfico,
2499,Fauna,
2500,Otro,
2501,Otro,
2502,Hombre,
2503,Hombre,
2504,Hombre,
2505,Artes/Cultura,
2506,Fauna,
2507,Otro,
2508,Hombre,
2509,Fauna,
2510,Artes/Cultura,
2511,Hombre,
2512,Fauna,
2513,Artes/Cultura,
